DateID,FullDate
2214,2022-11-03
2215,2022-11-04
2216,2022-11-05
2217,2022-11-06
2218,2022-11-07
2219,2022-11-08
2220,2022-11-09
2221,2022-11-10
2222,2022-11-11
2223,2022-11-12
2224,2022-11-13
2225,2022-11-14
2226,2022-11-15
2227,2022-11-16
2228,2022-11-17
2229,2022-11-18
2230,2022-11-19
2231,2022-11-20
2232,2022-11-21
2233,2022-11-22
2234,2022-11-23
2235,2022-11-24
2236,2022-11-25
2237,2022-11-26
2238,2022-11-27
2239,2022-11-28
2240,2022-11-29
2241,2022-11-30
2242,2022-12-01
2243,2022-12-02
2244,2022-12-03
2245,2022-12-04
2246,2022-12-05
2247,2022-12-06
2248,2022-12-07
2249,2022-12-08
2250,2022-12-09
2251,2022-12-10
2252,2022-12-11
2253,2022-12-12
2254,2022-12-13
2255,2022-12-14
2256,2022-12-15
2257,2022-12-16
2258,2022-12-17
2259,2022-12-18
2260,2022-12-19
2261,2022-12-20
2262,2022-12-21
2263,2022-12-22
2264,2022-12-23
2265,2022-12-24
2266,2022-12-25
2267,2022-12-26
2268,2022-12-27
2269,2022-12-28
2270,2022-12-29
2271,2022-12-30
2272,2022-12-31
2273,2023-01-01
2274,2023-01-02
2275,2023-01-03
2276,2023-01-04
2277,2023-01-05
2278,2023-01-06
2279,2023-01-07
2280,2023-01-08
2281,2023-01-09
2282,2023-01-10
2283,2023-01-11
2284,2023-01-12
2285,2023-01-13
2286,2023-01-14
2287,2023-01-15
2288,2023-01-16
2289,2023-01-17
2290,2023-01-18
2291,2023-01-19
2292,2023-01-20
2293,2023-01-21
2294,2023-01-22
2295,2023-01-23
2296,2023-01-24
2297,2023-01-25
2298,2023-01-26
2299,2023-01-27
2300,2023-01-28
2301,2023-01-29
2302,2023-01-30
2303,2023-01-31
2304,2023-02-01
2305,2023-02-02
2306,2023-02-03
2307,2023-02-04
2308,2023-02-05
2309,2023-02-06
2310,2023-02-07
2311,2023-02-08
2312,2023-02-09
2313,2023-02-10
2314,2023-02-11
2315,2023-02-12
2316,2023-02-13
2317,2023-02-14
2318,2023-02-15
2319,2023-02-16
2320,2023-02-17
2321,2023-02-18
2322,2023-02-19
2323,2023-02-20
2324,2023-02-21
2325,2023-02-22
2326,2023-02-23
2327,2023-02-24
2328,2023-02-25
2329,2023-02-26
2330,2023-02-27
2331,2023-02-28
2332,2023-03-01
2333,2023-03-02
2334,2023-03-03
2335,2023-03-04
2336,2023-03-05
2337,2023-03-06
2338,2023-03-07
2339,2023-03-08
2340,2023-03-09
2341,2023-03-10
2342,2023-03-11
2343,2023-03-12
2344,2023-03-13
2345,2023-03-14
2346,2023-03-15
2347,2023-03-16
2348,2023-03-17
2349,2023-03-18
2350,2023-03-19
2351,2023-03-20
2352,2023-03-21
2353,2023-03-22
2354,2023-03-23
2355,2023-03-24
2356,2023-03-25
2357,2023-03-26
